iter	Logloss
0	0.6621003439
1	0.6342724498
2	0.6084467843
3	0.5864816258
4	0.5659312675
5	0.5490508108
6	0.535608111
7	0.5235526007
8	0.5126718806
9	0.5068195345
10	0.4961290387
11	0.4835839041
12	0.4780765434
13	0.4688999609
14	0.465754448
15	0.4618059386
16	0.4556839178
17	0.4497560438
18	0.4445642476
19	0.4379642015
20	0.4314621623
21	0.4294003658
22	0.4271099382
23	0.4243932149
24	0.4221577466
25	0.4183167587
26	0.4154108747
27	0.4128903851
28	0.4117267821
29	0.4100745167
30	0.4084781368
31	0.4059837392
32	0.4036224755
33	0.4013492995
34	0.3993525533
35	0.3964308853
36	0.3950632586
37	0.3942348542
38	0.392669814
39	0.3911144007
40	0.3898050044
41	0.3882209863
42	0.3868372876
43	0.3858591818
44	0.3844412385
45	0.3828003128
46	0.3817938367
47	0.3810323573
48	0.3799300083
49	0.3793930355
50	0.3788919157
51	0.3785241256
52	0.3777251158
53	0.3771598924
54	0.3763008938
55	0.3754718534
56	0.3749472859
57	0.3744064341
58	0.3740680075
59	0.373708528
60	0.3722129582
61	0.3711944518
62	0.370437904
63	0.3694796755
64	0.3689759254
65	0.3682181277
66	0.3678127744
67	0.3672704036
68	0.366666586
69	0.3657718727
70	0.3657097755
71	0.3655806629
72	0.3647051465
73	0.3643976141
74	0.3642487046
75	0.3638927204
76	0.3631713025
77	0.363067149
78	0.3630523704
79	0.3625777624
80	0.3620472691
81	0.3617395241
82	0.3614588782
83	0.3610929006
84	0.360769155
85	0.3601246026
86	0.3596100667
87	0.3591598494
88	0.3587715026
89	0.3578200311
90	0.3574631035
91	0.3569391834
92	0.3564652822
93	0.356232555
94	0.3559236022
95	0.3554524204
96	0.3552454698
97	0.3548787015
98	0.3543729095
99	0.3541380632
100	0.3536258085
101	0.3533755042
102	0.3529011544
103	0.3524635808
104	0.3523249104
105	0.3519585666
106	0.3516288469
107	0.3510899221
108	0.3508019222
109	0.349886895
110	0.34978224
111	0.3496120951
112	0.3493525771
113	0.3487395511
114	0.3483896266
115	0.3480869106
116	0.3477649481
117	0.3467962111
118	0.3465568308
119	0.3463505847
120	0.3459293487
121	0.3448953144
122	0.3442622959
123	0.3441597575
124	0.3437329111
125	0.3435517949
126	0.343261397
127	0.3427153935
128	0.3421829239
129	0.3411114864
130	0.3409030253
131	0.3402677683
132	0.3394258036
133	0.3390699913
134	0.3386672479
135	0.3384424338
136	0.3381135753
137	0.3376432297
138	0.3374862721
139	0.337224681
140	0.3366598348
141	0.336241165
142	0.3360006561
143	0.3358894853
144	0.3349415194
145	0.3345884841
146	0.3337571784
147	0.3332881091
148	0.3327331219
149	0.3322853534
150	0.3320620335
151	0.3316493035
152	0.3311901763
153	0.3311069373
154	0.3308716475
155	0.3306326355
156	0.3303833468
157	0.3299335054
158	0.3296994778
159	0.3291895076
160	0.3283665521
161	0.3279977669
162	0.3276648727
163	0.3268870824
164	0.3267080489
165	0.3260879659
166	0.3259210531
167	0.325816891
168	0.3253517458
169	0.325039903
170	0.3248863582
171	0.3245358491
172	0.3241039236
173	0.3238444201
174	0.3236142971
175	0.3234580659
176	0.3232746644
177	0.3227276319
178	0.3219469612
179	0.3214741273
180	0.3209910566
181	0.3205297397
182	0.3201171752
183	0.3199214909
184	0.3191997457
185	0.3190119313
186	0.3186969809
187	0.3185334947
188	0.3182950955
189	0.3181942886
190	0.318099439
191	0.317817526
192	0.3174642333
193	0.3170223904
194	0.3159713187
195	0.3158676881
196	0.3156647441
197	0.3154121547
198	0.314772416
199	0.3140697799
200	0.3134175846
201	0.3130841901
202	0.3128042236
203	0.312332013
204	0.3116764229
205	0.3113255411
206	0.3110126956
207	0.3108790241
208	0.3107369022
209	0.3105949308
210	0.3103963398
211	0.3098771257
212	0.3096078578
213	0.3092397098
214	0.3088806252
215	0.3083463881
216	0.3082286348
217	0.3073458827
218	0.3067986865
219	0.306327993
220	0.3060285901
221	0.3057186835
222	0.3053762704
223	0.3050024623
224	0.3047891931
225	0.3045466048
226	0.3043232457
227	0.3039100162
228	0.3035469278
229	0.3031552894
230	0.302322806
231	0.3018004977
232	0.3017162759
233	0.3011781431
234	0.301053267
235	0.3006270025
236	0.3002185165
237	0.2998683209
238	0.2994507101
239	0.2991846147
240	0.298800913
241	0.2985541488
242	0.298348733
243	0.2980261189
244	0.2976772871
245	0.2975437095
246	0.297460308
247	0.2971918248
248	0.2970110752
249	0.2966957121
250	0.2965797672
251	0.2959762985
252	0.2956681144
253	0.2955739078
254	0.2950766029
255	0.2948927006
256	0.2947103611
257	0.2944483605
258	0.294340798
259	0.2942109858
260	0.2940603264
261	0.2938958555
262	0.2935345525
263	0.2932916895
264	0.2928653989
265	0.2926486778
266	0.2920666766
267	0.2915356927
268	0.291451304
269	0.2910478386
270	0.290515281
271	0.2901045023
272	0.2900268252
273	0.2894766859
274	0.2892241978
275	0.2887677807
276	0.2883726607
277	0.288331745
278	0.2881843379
279	0.2880070006
280	0.287856833
281	0.2875347651
282	0.2870428483
283	0.286954515
284	0.2869036896
285	0.2866987031
286	0.2865862743
287	0.2864697766
288	0.2861892111
289	0.2860518665
290	0.2858817995
291	0.2857959707
292	0.2854161279
293	0.2849749721
294	0.2846741424
295	0.2844873967
296	0.2843767063
297	0.2840059645
298	0.2837636058
299	0.2834375195
300	0.2831360585
301	0.282843543
302	0.2825066151
303	0.2824044486
304	0.2821531322
305	0.2818439911
306	0.281755606
307	0.2816448808
308	0.2815731062
309	0.2815393487
310	0.281340408
311	0.2811007466
312	0.2808389695
313	0.2807548896
314	0.2796934107
315	0.2789945441
316	0.2788968202
317	0.2786750749
318	0.278044799
319	0.277919392
320	0.2776563323
321	0.2774037495
322	0.2771700193
323	0.2767214032
324	0.2765729942
325	0.2761507836
326	0.2757578688
327	0.2757143024
328	0.2752388119
329	0.2749420513
330	0.274772974
331	0.2745531695
332	0.2743090795
